Suburb,Price
Abbotsford,1480000.0
Abbotsford,1035000.0
Abbotsford,1465000.0
Abbotsford,850000.0
Abbotsford,1600000.0
Abbotsford,941000.0
Abbotsford,1876000.0
Abbotsford,1636000.0
Abbotsford,1000000.0
Abbotsford,745000.0
Abbotsford,300000.0
Abbotsford,1097000.0
Abbotsford,542000.0
Abbotsford,760000.0
Abbotsford,481000.0
Abbotsford,700000.0
Abbotsford,1350000.0
Abbotsford,750000.0
Abbotsford,1985000.0
Abbotsford,500000.0
Abbotsford,1172500.0
Abbotsford,441000.0
Abbotsford,1310000.0
Abbotsford,1200000.0
Abbotsford,847000.0
Abbotsford,1176500.0
Abbotsford,955000.0
Abbotsford,890000.0
Abbotsford,1330000.0
Abbotsford,900000.0
Abbotsford,1090000.0
Abbotsford,500000.0
Abbotsford,1100000.0
Abbotsford,1315000.0
Abbotsford,480000.0
Abbotsford,423500.0
Abbotsford,426000.0
Abbotsford,1447500.0
Abbotsford,457000.0
Abbotsford,1135000.0
Abbotsford,700000.0
Abbotsford,1542000.0
Abbotsford,962000.0
Abbotsford,1290000.0
Abbotsford,1290000.0
Abbotsford,470000.0
Abbotsford,1180000.0
Abbotsford,1195000.0
Abbotsford,1012500.0
Abbotsford,970000.0
Abbotsford,1030000.0
Abbotsford,927000.0
Airport West,840000.0
Airport West,730000.0
Airport West,770000.0
Airport West,603000.0
Airport West,700000.0
Airport West,600000.0
Airport West,500000.0
Airport West,420000.0
Airport West,500000.0
Airport West,1035000.0
Airport West,960000.0
Airport West,960000.0
Airport West,720000.0
Airport West,785000.0
Airport West,725000.0
Airport West,450000.0
Airport West,515000.0
Airport West,680000.0
Airport West,530000.0
Airport West,895000.0
Airport West,600000.0
Airport West,805000.0
Airport West,760000.0
Airport West,752000.0
Airport West,580000.0
Airport West,725000.0
Airport West,758000.0
Airport West,440000.0
Airport West,970000.0
Airport West,755000.0
Airport West,985000.0
Airport West,700000.0
Airport West,509500.0
Airport West,830000.0
Airport West,462500.0
Airport West,670000.0
Airport West,675000.0
Airport West,1042000.0
Airport West,910000.0
Airport West,773000.0
Airport West,715000.0
Airport West,810000.0
Airport West,715000.0
Airport West,790000.0
Airport West,460000.0
Airport West,540000.0
Airport West,825000.0
Airport West,685000.0
Airport West,445000.0
Airport West,805000.0
Airport West,510000.0
Airport West,612000.0
Airport West,662000.0
Airport West,978000.0
Airport West,720000.0
Airport West,474000.0
Airport West,490000.0
Airport West,405000.0
Airport West,715000.0
Airport West,671500.0
Airport West,765000.0
Airport West,900000.0
Airport West,820000.0
Airport West,650000.0
Airport West,552000.0
Albert Park,1275000.0
Albert Park,1455000.0
Albert Park,2850000.0
Albert Park,1850000.0
Albert Park,1436000.0
Albert Park,1110000.0
Albert Park,1550000.0
Albert Park,2300000.0
Albert Park,1550000.0
Albert Park,1800000.0
Albert Park,2485000.0
Albert Park,2120000.0
Albert Park,1800000.0
Albert Park,1800000.0
Albert Park,1810000.0
Albert Park,2615000.0
Albert Park,2100000.0
Albert Park,1300000.0
Albert Park,1370000.0
Albert Park,1000000.0
Albert Park,2575000.0
Albert Park,1322500.0
Albert Park,1562500.0
Albert Park,2000000.0
Albert Park,1900000.0
Albert Park,3010000.0
Albert Park,2800000.0
Albert Park,647000.0
Albert Park,2100000.0
Albert Park,2000000.0
Albert Park,442500.0
Albert Park,4735000.0
Albert Park,1340000.0
Albert Park,1801000.0
Albert Park,1532000.0
Albert Park,3755000.0
Albert Park,2140000.0
Albert Park,1810000.0
Albert Park,1750000.0
Albert Park,980000.0
Albert Park,2030000.0
Albert Park,1740000.0
Albert Park,2800000.0
Albert Park,985000.0
Alphington,2000000.0
Alphington,1110000.0
Alphington,1492000.0
Alphington,480000.0
Alphington,1304000.0
Alphington,1717500.0
Alphington,2840000.0
Alphington,525500.0
Alphington,805000.0
Alphington,465000.0
Alphington,1480000.0
Alphington,2000000.0
Alphington,1540000.0
Alphington,590000.0
Alphington,820000.0
Alphington,1830000.0
Alphington,2100000.0
Alphington,865000.0
Alphington,390000.0
Alphington,650000.0
Alphington,512000.0
Alphington,1361000.0
Alphington,1310000.0
Alphington,570000.0
Alphington,1165000.0
Alphington,530000.0
Alphington,1900000.0
Alphington,1485000.0
Alphington,1950000.0
Altona,520000.0
Altona,1525000.0
Altona,720000.0
Altona,1120000.0
Altona,780000.0
Altona,1780000.0
Altona,630000.0
Altona,406000.0
Altona,660000.0
Altona,683500.0
Altona,540000.0
Altona,580000.0
Altona,1335000.0
Altona,800000.0
Altona,510000.0
Altona,1070000.0
Altona,425000.0
Altona,605000.0
Altona,705000.0
Altona,391000.0
Altona,440000.0
Altona,845000.0
Altona,766000.0
Altona,743000.0
Altona,650000.0
Altona,730000.0
Altona,916500.0
Altona,635000.0
Altona,620000.0
Altona,447000.0
Altona,730000.0
Altona,678000.0
Altona,580000.0
Altona,712000.0
Altona,840000.0
Altona,980000.0
Altona,1000000.0
Altona,605100.0
Altona,880000.0
Altona,577000.0
Altona,1030000.0
Altona,605000.0
Altona,685000.0
Altona,753000.0
Altona,857000.0
Altona,1500000.0
Altona,730000.0
Altona,900000.0
Altona,740000.0
Altona,931000.0
Altona,535600.0
Altona North,1085000.0
Altona North,781000.0
Altona North,857500.0
Altona North,960000.0
Altona North,750000.0
Altona North,421000.0
Altona North,1405000.0
Altona North,683000.0
Altona North,623000.0
Altona North,720000.0
Altona North,780000.0
Altona North,720000.0
Altona North,705000.0
Altona North,588000.0
Altona North,720000.0
Altona North,710000.0
Altona North,550000.0
Altona North,640000.0
Altona North,537500.0
Altona North,875000.0
Altona North,800000.0
Altona North,713500.0
Altona North,700000.0
Altona North,551000.0
Altona North,685000.0
Altona North,640000.0
Altona North,650000.0
Altona North,925000.0
Altona North,670000.0
Altona North,680000.0
Altona North,765000.0
Altona North,675000.0
Altona North,708000.0
Altona North,656000.0
Altona North,883000.0
Altona North,965000.0
Altona North,870000.0
Altona North,681000.0
Altona North,522500.0
Altona North,972000.0
Altona North,590000.0
Altona North,450000.0
Altona North,765000.0
Altona North,750000.0
Altona North,680000.0
Altona North,510000.0
Altona North,770000.0
Altona North,923000.0
Altona North,693000.0
Altona North,620000.0
Altona North,800000.0
Altona North,728500.0
Altona North,931000.0
Altona North,988000.0
Altona North,590000.0
Altona North,590000.0
Altona North,610000.0
Altona North,815000.0
Altona North,970000.0
Altona North,840000.0
Altona North,840000.0
Altona North,760000.0
Altona North,852500.0
Altona North,847500.0
Altona North,1200000.0
Altona North,630000.0
Altona North,700000.0
Altona North,625000.0
Altona North,292000.0
Altona North,640000.0
Altona North,800000.0
Armadale,599000.0
Armadale,550000.0
Armadale,995000.0
Armadale,1205000.0
Armadale,2675000.0
Armadale,1939000.0
Armadale,421500.0
Armadale,585000.0
Armadale,2050000.0
Armadale,1870000.0
Armadale,678000.0
Armadale,1918000.0
Armadale,660000.0
Armadale,2050000.0
Armadale,700000.0
Armadale,3625000.0
Armadale,3000000.0
Armadale,1930000.0
Armadale,1525000.0
Armadale,735000.0
Armadale,825000.0
Armadale,1586000.0
Armadale,645000.0
Armadale,1435000.0
Armadale,280000.0
Armadale,400000.0
Armadale,1780000.0
Armadale,592500.0
Armadale,1210000.0
Armadale,2801000.0
Armadale,390000.0
Armadale,1800000.0
Armadale,2200000.0
Armadale,324000.0
Armadale,5525000.0
Armadale,1125000.0
Armadale,2250000.0
Armadale,2360000.0
Armadale,1900000.0
Armadale,440000.0
Armadale,490000.0
Armadale,2365000.0
Armadale,1300000.0
Armadale,732000.0
Armadale,704000.0
Armadale,620000.0
Armadale,1900000.0
Armadale,315000.0
Armadale,1992000.0
Armadale,450000.0
Armadale,710000.0
Armadale,872000.0
Armadale,598000.0
